非洲之心,13145200,1
豪宅管理用黑盒,7402320,4
黑王子红宝石,3000000,1
养殖白玉籽和田玉,2516000,2
私人直升机黑匣子,1688400,4
永乐大典残本二,1553900,4
蓝鳍金枪鱼,1552500,15
超级跑车钥匙,1495000,1
永乐大典残本一,1491800,4
富春山居图,1236666,3
复苏呼吸机,1039000,9
百年人参,1039000,2
相控阵雷达,1003000,12
翡翠屏风,844000,16
双羊尊,567900,4
高斯振动匕首,531000,2
钻石原石巨粒,512000,9
超声波诊断仪,475000,9
AI服务器,470400,6
宝斯终身VIP会员卡,465000,1
火焰欧泊,457200,1
民用垂直起降飞行器,452800,15
碳纤维单体壳车身,444000,16
扶桑古太刀,422002,8
武夷山母树大红袍,390000,1
GPU计算柜,375000,15
可控核聚变电池包,362400,4
红木屏风,361000,16
重型巡航摩托车,357040,12
金编钟,322560,9
星光红宝石,316000,1
单兵外骨骼助力系统,305920,12
黑欧泊,295500,4
大目金枪鱼,294000,15
时尚轿跑,293400,15
青铜神树,287280,10
般若神掌秘籍,284519,4
亚威农少女,282240,9
金缕玉衣,281600,8
永恒时尚指南,266050,4
医用外骨骼,259165,6
电影级摄像机,258760,6
敦煌绢画,255840,3
云端100寸液晶电视,255115,6
陈年干邑,249000,2
清明上河图复刻,240660,6
全息雷达无人机,226800,9
007同款防弹西装,199080,6
环球小姐冠军皇冠,195154,2
黄唇鱼鱼胶,193200,4
自由引导人民,191800,6
金丝楠木椅,187812,4
全画幅相机,186900,4
冰种飘花翡翠,180000,4
金丝冠,179100,4
凯尔经,175500,4
全智能扫地机器人,170362,4
星空,170200,6
斯卡奥小金人,168000,2
藏区冬虫夏草,168000,2
拜占庭冠,167800,4
法贝热蛋,160200,4
戴珍珠耳环的少女,160200,4
古医书伤寒论,158940,2
天工开物,148840,4
古剑,143100,3
黄金权杖,141300,4
触摸感应仿生手,130296,1
亚历山大变石,128000,2
野生大黄鱼,127260,2
中画幅相机,122600,4
岩间圣母,120600,6
紫檀木金针针灸套装,112896,4
曜变天目盏,112500,1
激光手枪,104400,2
金绿猫眼石,94500,1
罗曼尼康帝,92880,2
美容中心终身会员金卡,88888,1
祖母绿宝石,87000,1
黄金水龙头,85623,1
鸽血红宝石,75500,1
大溪地黑珍珠,71500,1
全集成AI自动驾驶系统,68800,1
玉化砗磲,68400,1
佛跳墙,68100,1
维纳斯级澳洲白珠,56000,1
安宫牛黄丸,54675,1
麒麟处理器芯片,54600,1
刺猬猫全息阅读终端,54300,1
帕拉伊巴碧玺,52500,1
